Id, Latitude, Longitude, X, Y
331979941,39.6270798,52.5873784,4411266.34496042,6873074.03416552
331979942,39.6342684,52.5855021,4412066.57625193,6872731.10652424
331979943,39.6443808,52.5823135,4413192.28347063,6872148.36624497
411853319,39.5816765,52.5579681,4406212.07272408,6867700.46768436
411853328,39.5816339,52.5568393,4406207.33051378,6867494.29638483
411853335,39.5812333,52.5557998,4406162.73592576,6867304.44012702
414108453,39.6209498,52.5765101,4410583.95648185,6871087.86120507
414108456,39.6204392,52.5725485,4410527.11674985,6870364.00508817
414108457,39.6178519,52.5735534,4410239.09983133,6870547.61230873
443921455,39.5817713,52.5583045,4406222.62581181,6867761.91097728
443921458,39.5827456,52.5595949,4406331.08439169,6867997.60628797
443921463,39.5844853,52.5606314,4406524.74690982,6868186.93107151
443921466,39.5865886,52.5614015,4406758.88519481,6868327.59873472
443921468,39.6007581,52.569428,4408336.2267196,6869793.87945612
443921469,39.6012463,52.5700675,4408390.57289501,6869910.71489174
443921470,39.6029552,52.5745842,4408580.80677283,6870735.95616206
443921472,39.6057796,52.5776055,4408895.21754262,6871288.02223733
443921473,39.6076464,52.5791726,4409103.02876803,6871574.38514208
443921479,39.6115222,52.5797756,4409534.48085045,6871684.57665932
443921482,39.6109625,52.5811207,4409472.17533145,6871930.38415448
443921484,39.617831,52.5821059,4410236.77325397,6872110.42728367
443921487,39.6183832,52.5821799,4410298.24387678,6872123.95078481
443921492,39.6119045,52.5788012,4409577.03829178,6871506.51669692
443921501,39.6193952,52.5808564,4410410.89920147,6871882.08460364
766571708,39.6004496,52.5691949,4408301.88465669,6869751.29295456
766571709,39.5997103,52.5687681,4408219.58615715,6869673.31877422
766571722,39.6478357,52.573647,4413576.88117937,6870564.71436086
766571723,39.6466106,52.5738151,4413440.5036712,6870595.4287154
766571724,39.63718,52.5739412,4412390.69408133,6870618.46912684
766571725,39.6334893,52.5730283,4411979.84723666,6870451.66974567
766571726,39.6325348,52.5729102,4411873.59278269,6870430.0915069
766571727,39.6322213,52.5729284,4411838.69412233,6870433.41685403
766571728,39.6318176,52.5729577,4411793.7544439,6870438.7703004
766571729,39.6314722,52.5730022,4411755.30469178,6870446.90096815
766571730,39.6308587,52.573169,4411687.01018418,6870477.37734262
766605881,39.5816965,52.5563399,4406214.2991139,6867403.08445445
766605882,39.5817697,52.5564647,4406222.44770063,6867425.8782071
766605883,39.5818247,52.5565897,4406228.57027262,6867448.70855352
766605884,39.5818569,52.5567397,4406232.15476022,6867476.10505551
766605885,39.5818891,52.557105,4406235.73924782,6867542.82506377
766605886,39.5818891,52.5574637,4406235.73924782,6867608.34016207
766605887,39.5819535,52.5580834,4406242.90822303,6867721.52711877
766605888,39.5821144,52.558416,4406260.8195291,6867782.27650138
766605889,39.5823075,52.5586835,4406282.31532277,6867831.13570626
766605890,39.5828332,52.5591074,4406340.83597908,6867908.56217714
766605891,39.5836808,52.5596162,4406435.19037948,6868001.49685333
766605892,39.5867922,52.5613316,4406781.54984313,6868314.83058964
766605893,39.6018134,52.5698085,4408453.70217824,6869863.39587726
766605899,39.583177,52.5598519,4406379.10762002,6868044.54891696
766605917,39.6019234,52.5702245,4408465.94732223,6869939.39875538
766605919,39.6017042,52.570348,4408441.54608984,6869961.9622493
766605921,39.6015717,52.57048,4408426.79625731,6869986.07876685
766605923,39.6015309,52.570592,4408422.25442209,6870006.5413238
766605925,39.6015148,52.5707192,4408420.46217829,6870029.78100575
766605927,39.6015148,52.5708464,4408420.46217829,6870053.02075543
766605929,39.601501,52.5710131,4408418.92596931,6870083.47735386
766605937,39.6014183,52.5702432,4408409.71984743,6869942.81524793
766605939,39.6024322,52.5699465,4408522.58667914,6869888.60829017
766605964,39.6100094,52.5669125,4409366.07672478,6869334.31899591
766605965,39.6123885,52.5682755,4409630.91692533,6869583.32421795
766605966,39.615634,52.5713859,4409992.2043327,6870151.58947195
766605972,39.6020894,52.5700667,4408484.4263577,6869910.56873218
766605973,39.6020969,52.5699742,4408485.26125388,6869893.66905223
766605974,39.6020379,52.5698911,4408478.69340392,6869878.4867757
766605977,39.6015393,52.5698085,4408423.18950581,6869863.39587726
766605978,39.6013502,52.5698734,4408402.1389901,6869875.25300935
766605979,39.6012539,52.5699663,4408391.41892314,6869892.22572987
